年月,M1B月平均(億元),最大日成交金額_億元,M1B佔比_%
2024/09,"27,533,780","5,090.8",0.0185%
2024/10,"27,598,953","5,004.1",0.0181%
2024/11,"27,514,288","4,831.8",0.0176%
2024/12,"27,647,201","4,796.0",0.0173%
2025/01,"28,010,308","4,614.7",0.0165%
2025/02,"28,021,770","5,499.6",0.0196%
2025/03,"27,900,305","4,396.0",0.0158%
2025/04,"27,853,118","5,900.4",0.0212%
2025/05,"27,947,993","4,804.8",0.0172%
2025/06,"28,106,411","4,638.9",0.0165%
2025/07,"28,443,353","4,490.1",0.0158%
2025/08,"28,832,022","5,738.7",0.0199%
2025/09,"28,977,498","6,196.9",0.0214%
2025/10,"28,935,178","7,090.9",0.0245%
2025/11,"28,873,543","7,491.6",0.0259%
2025/12,"28,987,198","5,683.3",0.0196%
2026/01,"29,574,911","9,596.5",0.0324%
2026/02,"30,016,162","12,078.4",0.0402%
2026/03,"30,086,138","11,132.3",0.0370%
